Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	25/291	4.055604e-05	3.016746e-03	0	0	2.630059e+00	2.659732e+01	FBN2;ITGAM;LAMC3;NCAN;ITGB3;COL11A2;SCUBE3;VTN;CAPN6;CTSK;CAPN5;ITGB6;MMP7;LAMB3;COL25A1;MMP1;MMP9;MMP12;COL2A1;MMP13;CEACAM6;COL9A1;MATN1;COL9A3;MATN4
Reactome_2022	Neuronal System R-HSA-112316	30/386	4.798308e-05	3.314260e-03	0	0	2.364419e+00	2.351335e+01	GABRB3;KCNG1;ACHE;GRIA2;SNAP25;KCNC2;CHRNA4;CHRNA6;SLC1A1;CHRNA9;KCNA5;GRIK1;ADCY1;SLC1A6;NCALD;SLC6A4;NRAS;SLITRK1;GNG4;UBD;SLITRK3;SLITRK6;GRIA3;KCNJ2;BCHE;SYT1;KCNJ12;HTR3A;GABRG2;KCNK3
Reactome_2022	Dectin-2 Family R-HSA-5621480	7/29	5.199867e-05	3.352181e-03	0	0	8.785556e+00	8.666329e+01	MUC2;MUC16;MUCL1;MUC17;MUC5B;MUC4;MUC20
Reactome_2022	Degradation Of Extracellular Matrix R-HSA-1474228	13/109	1.209566e-04	6.873440e-03	0	0	3.757030e+00	3.388871e+01	MMP7;LAMB3;COL25A1;MMP1;MMP9;MMP12;SCUBE3;MMP13;CAPN6;CTSK;CAPN5;COL9A1;COL9A3
Reactome_2022	Drug ADME R-HSA-9748784	12/95	1.259505e-04	6.873440e-03	0	0	4.008136e+00	3.599155e+01	ABCC4;BCHE;GLYATL2;ABCC2;UGT2B11;ALB;GSTA1;UGT2B28;UGT3A2;GGT1;SLC28A2;UGT1A7
Reactome_2022	Aspirin ADME R-HSA-9749641	8/44	1.318975e-04	6.873440e-03	0	0	6.140284e+00	5.485414e+01	BCHE;GLYATL2;ABCC2;UGT2B11;ALB;UGT2B28;UGT3A2;UGT1A7
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	33/468	1.350521e-04	6.873440e-03	0	0	2.129105e+00	1.897001e+01	PIGR;SNAP25;CSTB;ITGAM;CALML5;TCIRG1;NRAS;ANPEP;PSMD3;CD177;PTPRN2;KRT1;HSPA6;NDUFC2;MMP9;MMP12;CHIT1;RAP2C;RCAN1;VNN1;SLPI;SELL;TCN1;CEACAM6;QPCT;LCN2;PKP1;CHI3L1;S100P;S100A9;SLC27A2;S100A8;S100A7
Reactome_2022	Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	10/69	1.443475e-04	6.979202e-03	0	0	4.691135e+00	4.148505e+01	SPON2;SPON1;MUC2;MUCL1;MUC16;ADAMTSL4;MUC17;MUC5B;MUC4;MUC20
Reactome_2022	O-linked Glycosylation Of Mucins R-HSA-913709	9/59	2.070818e-04	9.535623e-03	0	0	4.977155e+00	4.221820e+01	MUC2;MUCL1;B3GNT7;MUC16;MUC17;GCNT3;MUC5B;MUC4;MUC20
Reactome_2022	Cell-cell Junction Organization R-HSA-421270	9/61	2.684484e-04	1.156269e-02	0	0	4.785229e+00	3.934823e+01	CLDN6;CLDN10;CDH4;CDH2;CLDN9;CLDN8;CLDN1;SDK2;CDH19
Reactome_2022	Biological Oxidations R-HSA-211859	19/218	2.750175e-04	1.156269e-02	0	0	2.657779e+00	2.179027e+01	GLYATL2;SLC26A2;UGT2B11;MAOB;ADH1B;ACSM1;UGT2B28;CYP4B1;FMO3;CYP4F8;CYP2A6;AKR7A3;CYP24A1;GSTA1;CYP1A1;CYP1B1;UGT3A2;GGT1;UGT1A7
Reactome_2022	Transport Of Small Molecules R-HSA-382551	43/706	3.712567e-04	1.495855e-02	0	0	1.825393e+00	1.441808e+01	RYR1;SLC26A2;TTYH1;SLC1A1;SLC3A1;ATP1A2;ADCY1;SLC5A1;TCIRG1;AQP5;SLC7A11;SLC1A6;ABCC11;AQP3;GNG4;SLC22A17;CA2;PSMD3;CLCA2;SLC39A8;APOE;PLTP;SLC13A2;SLC34A2;ABCC4;SLC15A1;SLC30A8;ABCC2;TRPA1;SLC6A14;ATP1B3;CP;TPCN2;SLC7A5;SLC5A8;TF;SLCO3A1;TRPV4;ALB;LCN2;SLC28A2;RHCG;ATP6V0D2
Reactome_2022	O-linked Glycosylation R-HSA-5173105	12/107	3.892413e-04	1.505585e-02	0	0	3.499658e+00	2.747691e+01	SPON2;SPON1;MUC2;MUCL1;MUC16;B3GNT7;MUC17;ADAMTSL4;GCNT3;MUC5B;MUC20;MUC4
Reactome_2022	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	13/123	4.052785e-04	1.507324e-02	0	0	3.276471e+00	2.559231e+01	MMP1;AMBN;IGF2;CP;TF;CDH2;ALB;FAM20C;SCG3;APOE;MFGE8;SCG2;CHGB
Reactome_2022	Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782	7/40	4.435945e-04	1.588725e-02	0	0	5.853695e+00	4.519403e+01	SLC26A2;NCAN;GPC1;OGN;PRELP;KERA;CSPG4
Reactome_2022	Developmental Biology R-HSA-1266738	59/1073	4.811845e-04	1.661805e-02	0	0	1.646575e+00	1.257861e+01	RET;ROBO2;NCAN;ITGB3;KRT23;CASP14;CDH4;CCND3;CDH2;KRT27;MPZ;PSMD3;KRTAP3-3;PTGDS;LEFTY1;KRT4;SEMA6D;KRT1;ADIPOQ;KRT34;UNC5C;KRT5;GAB2;KRT75;ANK1;POU3F2;MMP9;MED24;PKP1;PLIN1;EPHA3;KRT82;SPRR3;KRT81;KLK5;RPS4Y1;EFNA5;KRT86;EGFR;KRT40;NRAS;GPC1;KRTAP5-11;PI3;LEFTY2;SPTBN2;CDSN;KRT13;L1CAM;RCAN1;FABP4;KLF5;KRT17;KRT16;KRT14;COL9A1;COL9A3;INSM1;TRIM33
Reactome_2022	Innate Immune System R-HSA-168249	57/1035	5.765141e-04	1.922376e-02	0	0	1.647462e+00	1.228761e+01	PIGR;SNAP25;PGLYRP2;ITGAM;CALML5;C4BPA;TCIRG1;S100A7A;ANPEP;CTSK;PSMD3;LBP;CD177;CR2;MUCL1;DCD;S100A1;KRT1;NDUFC2;GAB2;MMP9;MMP12;CHIT1;RAP2C;MYH2;SLPI;CEACAM6;PKP1;CHI3L1;S100A9;SLC27A2;ATP6V0D2;S100A8;S100A7;CSTB;TARP;VTN;NRAS;MUC2;PI3;MUC4;PTPRN2;MUC16;MUC17;HSPA6;PLA2G2A;MUC5B;S100B;RCAN1;VNN1;SELL;TCN1;QPCT;LCN2;SAA2;S100P;MUC20
Reactome_2022	ECM Proteoglycans R-HSA-3000178	8/55	6.446323e-04	2.077865e-02	0	0	4.700510e+00	3.453385e+01	VTN;ITGB3;NCAN;MATN1;COL9A1;COL9A3;ITGB6;MATN4
Reactome_2022	Metabolism R-HSA-1430728	99/2049	7.173428e-04	2.237450e-02	0	0	1.453123e+00	1.052054e+01	ACSM1;PLB1;HS6ST3;AKR7A3;NDST4;PSMD3;CYP1B1;ENPP3;PTGDS;GGT1;STARD3;UGT2B11;ENTPD5;ADIPOQ;DIO2;KERA;SLC5A8;RBP4;PHOSPHO1;RBP1;HPD;SLC27A2;TPH1;SLC26A2;MAOB;RPS4Y1;ALDH3B2;DSEL;AFMID;UGT3A2;HAO1;APOE;HAO2;B4GALNT2;GLYATL2;SLC37A2;SRD5A1;CYP4F8;ALOX15B;ACSF2;QDPR;VNN1;TCN1;AKR1B15;OGN;ALB;CYP1A1;CSPG4;ACHE;SNAP25;HIBADH;KCNC2;NCAN;DBI;SERPINA6;CA2;KYNU;ACP5;UQCRFS1;PHGDH;CA9;ABCC2;DCXR;NDUFC2;PARP8;SLC7A5;CYP2A6;MED24;B3GNT7;CHST1;PLIN1;AGXT;DDC;HPGD;ADH1B;AKR1D1;UGT2B28;PRELP;ADCY1;PTGS2;GNG4;GPC1;CKB;UGT1A7;BCHE;CKM;HSD3B2;RNLS;PLA2G2A;DDHD2;AKR1C3;CYP4B1;MBOAT2;AKR1C2;FMO3;FABP4;CYP24A1;GSTA1;FOLR2
Reactome_2022	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	16/182	7.404177e-04	2.237450e-02	0	0	2.675993e+00	1.928935e+01	GABRB3;GRIA2;CHRNA4;KCNJ12;CHRNA6;CHRNA9;GRIK1;HTR3A;ADCY1;GABRG2;NCALD;NRAS;GNG4;UBD;GRIA3;KCNJ2
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	8/57	8.224962e-04	2.410163e-02	0	0	4.508184e+00	3.202238e+01	MMP7;COL2A1;MMP13;LAMB3;COL11A2;COL9A1;COL9A3;MMP9
Reactome_2022	Cell Junction Organization R-HSA-446728	10/86	8.796770e-04	2.501905e-02	0	0	3.638584e+00	2.560092e+01	CLDN6;CLDN10;CDH4;CDH2;LAMB3;CLDN9;CLDN8;CLDN1;SDK2;CDH19
Reactome_2022	Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902	5/23	1.064224e-03	2.939069e-02	0	0	7.649603e+00	5.236543e+01	RBP4;DHRS9;RDH10;RBP1;MYO7A
Reactome_2022	Glycosaminoglycan Metabolism R-HSA-1630316	12/120	1.094172e-03	2.939069e-02	0	0	3.076319e+00	2.097359e+01	SLC26A2;B3GNT7;NDST4;DSEL;NCAN;GPC1;OGN;CHST1;KERA;CSPG4;PRELP;HS6ST3
Reactome_2022	Peptide Hormone Metabolism R-HSA-2980736	10/89	1.149700e-03	2.939382e-02	0	0	3.499863e+00	2.368796e+01	PCSK2;MMP12;ACHE;PCSK1;BCHE;SPCS2;SLC30A8;ANPEP;AGXT;CPA4
Reactome_2022	Synthesis Of Bile Acids And Bile Salts Via 24-Hydroxycholesterol R-HSA-193775	4/14	1.155083e-03	2.939382e-02	0	0	1.100428e+01	7.442836e+01	AKR1D1;AKR1C3;AKR1C2;SLC27A2
Reactome_2022	Post-translational Protein Phosphorylation R-HSA-8957275	11/106	1.286880e-03	3.190803e-02	0	0	3.203398e+00	2.132032e+01	TF;CDH2;AMBN;ALB;FAM20C;SCG3;APOE;MFGE8;SCG2;CP;CHGB
Reactome_2022	Synthesis Of Prostaglandins (PG) And Thromboxanes (TX) R-HSA-2162123	4/15	1.531469e-03	3.702326e-02	0	0	1.000337e+01	6.483713e+01	HPGD;AKR1C3;PTGS2;PTGDS
Reactome_2022	Basigin Interactions R-HSA-210991	5/25	1.585263e-03	3.730558e-02	0	0	6.883929e+00	4.438072e+01	SLC7A5;MMP1;ATP1B3;SLC7A11;L1CAM
Reactome_2022	Muscle Contraction R-HSA-397014	16/196	1.620304e-03	3.730558e-02	0	0	2.466054e+00	1.584474e+01	RYR1;KCNK5;MYBPC1;KCNJ12;KCNA5;ATP1B3;ATP1A2;ACTG2;MMP12;FGF14;DES;TCAP;PDE5A;FGF12;KCNJ2;KCNK3
Reactome_2022	Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877	6/37	1.716974e-03	3.861195e-02	0	0	5.334072e+00	3.396306e+01	F9;SERPINE2;TFPI;SERPINA5;CD177;PF4
Reactome_2022	IRS-related Events Triggered By IGF1R R-HSA-2428928	7/51	1.971483e-03	4.308506e-02	0	0	4.387764e+00	2.733125e+01	NRAS;IGF2;GAB2;FGFR3;FGF3;FGFR2;IGF1R
Reactome_2022	Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244	3/8	2.138659e-03	4.308506e-02	0	0	1.648718e+01	1.013562e+02	OGN;KERA;PRELP
Reactome_2022	Defective CHST6 Causes MCDC1 R-HSA-3656225	3/8	2.138659e-03	4.308506e-02	0	0	1.648718e+01	1.013562e+02	OGN;KERA;PRELP
Reactome_2022	Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243	3/8	2.138659e-03	4.308506e-02	0	0	1.648718e+01	1.013562e+02	OGN;KERA;PRELP
Reactome_2022	SHC-related Events Triggered By IGF1R R-HSA-2428933	3/8	2.138659e-03	4.308506e-02	0	0	1.648718e+01	1.013562e+02	NRAS;IGF2;IGF1R
Reactome_2022	IGF1R Signaling Cascade R-HSA-2428924	7/52	2.210162e-03	4.361688e-02	0	0	4.290035e+00	2.623223e+01	NRAS;IGF2;GAB2;FGFR3;FGF3;FGFR2;IGF1R
Reactome_2022	Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192	7/53	2.470533e-03	4.765850e-02	0	0	4.196555e+00	2.519327e+01	NRAS;IGF2;GAB2;FGFR3;FGF3;FGFR2;IGF1R
Reactome_2022	Metabolism Of Vitamins And Cofactors R-HSA-196854	15/186	2.513530e-03	4.765850e-02	0	0	2.431223e+00	1.455346e+01	RNLS;AKR1C3;PTGS2;PLB1;PARP8;RBP4;SLC5A8;VNN1;TCN1;GPC1;RBP1;ACP5;ENPP3;APOE;FOLR2
Reactome_2022	Digestion And Absorption R-HSA-8963743	5/28	2.687622e-03	4.903642e-02	0	0	5.985093e+00	3.542636e+01	LIPF;CHIT1;AMY1A;SLC5A1;CEL
Reactome_2022	Keratan Sulfate Biosynthesis R-HSA-2022854	5/28	2.687622e-03	4.903642e-02	0	0	5.985093e+00	3.542636e+01	B3GNT7;OGN;CHST1;PRELP;KERA
Reactome_2022	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	6/41	2.948158e-03	5.230187e-02	0	0	4.723483e+00	2.752172e+01	HPX;AMBP;STAB1;ALB;SAA2;APOE
Reactome_2022	SLC-mediated Transmembrane Transport R-HSA-425407	18/247	3.016536e-03	5.230187e-02	0	0	2.181423e+00	1.266021e+01	SLC34A2;SLC13A2;SLC15A1;SLC26A2;SLC30A8;SLC6A14;SLC1A1;SLC3A1;SLC5A1;SLC7A11;SLC1A6;CP;SLC7A5;SLC5A8;SLCO3A1;SLC39A8;SLC28A2;RHCG
Reactome_2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	30/496	3.028857e-03	5.230187e-02	0	0	1.795804e+00	1.041489e+01	GABRB3;TPH1;LAMC3;ITGB3;TCIRG1;PTN;ASCL1;AREG;EGFR;FGF3;THBS4;IGF1R;NRAS;APOE;NTRK2;FGFBP1;LAMB3;IGF2;GAB2;S100B;MMP9;GABRG2;TF;RIT2;COL9A1;COL9A3;ATP6V0D2;FGFR3;MUC20;FGFR2
Reactome_2022	Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377	4/18	3.156307e-03	5.262325e-02	0	0	7.858569e+00	4.525241e+01	MMP12;ANPEP;AGXT;CPA4
Reactome_2022	Regulation Of TLR By Endogenous Ligand R-HSA-5686938	4/18	3.156307e-03	5.262325e-02	0	0	7.858569e+00	4.525241e+01	S100A1;LBP;S100A9;S100A8
Reactome_2022	Fatty Acid Metabolism R-HSA-8978868	14/173	3.339208e-03	5.472905e-02	0	0	2.438395e+00	1.390378e+01	HPGD;AKR1C3;CYP4B1;DBI;CYP4F8;PTGS2;ALOX15B;ACSF2;CYP1A1;CYP1B1;GGT1;PTGDS;SLC27A2;HAO2
Reactome_2022	Cell-Cell Communication R-HSA-1500931	11/120	3.455945e-03	5.569831e-02	0	0	2.789916e+00	1.581229e+01	CLDN6;CLDN10;CDH4;CDH2;LAMB3;CLDN9;CLDN8;MAGI2;CLDN1;SDK2;CDH19
Reactome_2022	Tight Junction Interactions R-HSA-420029	5/30	3.677545e-03	5.696169e-02	0	0	5.505714e+00	3.086234e+01	CLDN6;CLDN10;CLDN9;CLDN8;CLDN1
Reactome_2022	Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393	10/104	3.690163e-03	5.696169e-02	0	0	2.939079e+00	1.646497e+01	SLC34A2;SLC7A5;SLC15A1;SLC5A8;SLC26A2;SLC6A14;SLC1A1;SLC3A1;SLC7A11;SLC1A6
Reactome_2022	Retinoid Metabolism And Transport R-HSA-975634	6/43	3.766835e-03	5.696169e-02	0	0	4.467695e+00	2.493653e+01	RBP4;GPC1;RBP1;AKR1C3;APOE;PLB1
Reactome_2022	Nicotinamide Salvaging R-HSA-197264	4/19	3.887768e-03	5.696169e-02	0	0	7.334284e+00	4.070469e+01	SLC5A8;RNLS;PTGS2;PARP8
Reactome_2022	Phase 4 - Resting Membrane Potential R-HSA-5576886	4/19	3.887768e-03	5.696169e-02	0	0	7.334284e+00	4.070469e+01	KCNK5;KCNJ12;KCNJ2;KCNK3
Reactome_2022	Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085	4/19	3.887768e-03	5.696169e-02	0	0	7.334284e+00	4.070469e+01	ACHE;BCHE;PCSK1;SPCS2
Reactome_2022	Antimicrobial Peptides R-HSA-6803157	9/89	4.117818e-03	5.943180e-02	0	0	3.105873e+00	1.705879e+01	S100A7A;PGLYRP2;DCD;PLA2G2A;LCN2;PI3;S100A9;S100A8;S100A7
Reactome_2022	FGFR2b Ligand Binding And Activation R-HSA-190377	3/10	4.347022e-03	5.985062e-02	0	0	1.177534e+01	6.403739e+01	FGFBP1;FGF3;FGFR2
Reactome_2022	HDL Remodeling R-HSA-8964058	3/10	4.347022e-03	5.985062e-02	0	0	1.177534e+01	6.403739e+01	ALB;APOE;PLTP
Reactome_2022	Neurotransmitter Clearance R-HSA-112311	3/10	4.347022e-03	5.985062e-02	0	0	1.177534e+01	6.403739e+01	ACHE;BCHE;SLC6A4
Reactome_2022	Collagen Formation R-HSA-1474290	9/90	4.436082e-03	5.985062e-02	0	0	3.067369e+00	1.661896e+01	MMP7;COL2A1;MMP13;LAMB3;COL25A1;COL11A2;COL9A1;COL9A3;MMP9
Reactome_2022	Hemostasis R-HSA-109582	33/576	4.456303e-03	5.985062e-02	0	0	1.695870e+00	9.180481e+00	ECM1;ITGAM;SERPINE2;ITGB3;SLC7A11;TFPI;SERPINA5;KLC4;NRAS;GRB14;GNG4;GPC1;KIF1A;LEFTY2;CD177;ABCC4;MMP1;RARRES2;IGF2;ATP1B3;L1CAM;TUBA4A;SLC7A5;TF;F9;SELL;CEACAM6;CEACAM5;ALB;SCG3;PDE5A;S100A9;PF4
Reactome_2022	GABA Receptor Activation R-HSA-977443	7/59	4.561161e-03	6.041976e-02	0	0	3.711180e+00	2.000392e+01	GABRB3;GNG4;KCNJ12;UBD;ADCY1;GABRG2;KCNJ2
Reactome_2022	Platelet Degranulation R-HSA-114608	11/125	4.718551e-03	6.165999e-02	0	0	2.666856e+00	1.428436e+01	ABCC4;TF;ECM1;RARRES2;ITGB3;ALB;IGF2;SCG3;LEFTY2;TUBA4A;PF4
Reactome_2022	Cardiac Conduction R-HSA-5576891	11/126	5.010157e-03	6.459763e-02	0	0	2.643528e+00	1.400089e+01	KCNK5;RYR1;MMP12;FGF14;KCNJ12;ATP1B3;ATP1A2;KCNA5;FGF12;KCNJ2;KCNK3
Reactome_2022	Activation Of Matrix Metalloproteinases R-HSA-1592389	5/33	5.615835e-03	7.052614e-02	0	0	4.915051e+00	2.547061e+01	MMP7;MMP13;MMP1;CTSK;MMP9
Reactome_2022	Keratan Sulfate/Keratin Metabolism R-HSA-1638074	5/33	5.615835e-03	7.052614e-02	0	0	4.915051e+00	2.547061e+01	B3GNT7;OGN;CHST1;PRELP;KERA
Reactome_2022	Dermatan Sulfate Biosynthesis R-HSA-2022923	3/11	5.821769e-03	7.123402e-02	0	0	1.030288e+01	5.302020e+01	DSEL;NCAN;CSPG4
Reactome_2022	Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594	3/11	5.821769e-03	7.123402e-02	0	0	1.030288e+01	5.302020e+01	CHRNA4;CHRNA6;CHRNA9
Reactome_2022	Metabolism Of Fat-Soluble Vitamins R-HSA-6806667	6/47	5.893197e-03	7.123402e-02	0	0	4.030985e+00	2.069490e+01	RBP4;GPC1;RBP1;AKR1C3;APOE;PLB1
Reactome_2022	Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	11/130	6.322002e-03	7.547377e-02	0	0	2.554138e+00	1.293344e+01	ABCC4;TF;ECM1;RARRES2;ITGB3;ALB;IGF2;SCG3;LEFTY2;TUBA4A;PF4
Reactome_2022	Common Pathway Of Fibrin Clot Formation R-HSA-140875	4/22	6.748431e-03	7.862329e-02	0	0	6.110953e+00	3.054526e+01	SERPINE2;SERPINA5;CD177;PF4
Reactome_2022	RA Biosynthesis Pathway R-HSA-5365859	4/22	6.748431e-03	7.862329e-02	0	0	6.110953e+00	3.054526e+01	DHRS9;RDH10;CRABP1;AKR1C3
Reactome_2022	Metabolism Of Steroid Hormones R-HSA-196071	5/35	7.250850e-03	8.347109e-02	0	0	4.586905e+00	2.259801e+01	STARD3;HSD3B2;SRD5A1;AKR1B15;SERPINA6
Reactome_2022	GRB2 Events In EGFR Signaling R-HSA-179812	3/12	7.560939e-03	8.403940e-02	0	0	9.157645e+00	4.473290e+01	NRAS;AREG;EGFR
Reactome_2022	Keratan Sulfate Degradation R-HSA-2022857	3/12	7.560939e-03	8.403940e-02	0	0	9.157645e+00	4.473290e+01	OGN;KERA;PRELP
Reactome_2022	Scavenging Of Heme From Plasma R-HSA-2168880	3/12	7.560939e-03	8.403940e-02	0	0	9.157645e+00	4.473290e+01	HPX;AMBP;ALB
Reactome_2022	Visual Phototransduction R-HSA-2187338	9/98	7.722874e-03	8.486385e-02	0	0	2.790488e+00	1.357173e+01	RBP4;DHRS9;RDH10;GPC1;RBP1;AKR1C3;MYO7A;APOE;PLB1
Reactome_2022	Digestion R-HSA-8935690	4/23	7.945110e-03	8.536579e-02	0	0	5.789023e+00	2.799108e+01	CHIT1;LIPF;AMY1A;CEL
Reactome_2022	Glutamate Neurotransmitter Release Cycle R-HSA-210500	4/23	7.945110e-03	8.536579e-02	0	0	5.789023e+00	2.799108e+01	SNAP25;SYT1;SLC1A1;SLC1A6
Reactome_2022	Synthesis Of Bile Acids And Bile Salts Via 7Alpha-Hydroxycholesterol R-HSA-193368	4/24	9.273000e-03	9.853837e-02	0	0	5.499287e+00	2.574023e+01	AKR1D1;AKR1C3;AKR1C2;SLC27A2
Reactome_2022	SHC1 Events In EGFR Signaling R-HSA-180336	3/13	9.574647e-03	1.006379e-01	0	0	8.241453e+00	3.831152e+01	NRAS;AREG;EGFR
Reactome_2022	Peptide Ligand-Binding Receptors R-HSA-375276	14/196	9.831709e-03	1.022286e-01	0	0	2.127686e+00	9.834466e+00	GHSR;OXTR;NPY1R;TRH;CXCL13;NTS;HEBP1;CCL5;AGTR1;SAA2;CCL19;AGXT;NTSR2;PF4
Reactome_2022	Glucuronidation R-HSA-156588	4/25	1.073734e-02	1.104575e-01	0	0	5.237144e+00	2.374536e+01	UGT2B11;UGT2B28;UGT3A2;UGT1A7
Reactome_2022	Phase I - Functionalization Of Compounds R-HSA-211945	9/104	1.121229e-02	1.140551e-01	0	0	2.613430e+00	1.173625e+01	CYP2A6;CYP24A1;MAOB;ADH1B;CYP1A1;CYP1B1;CYP4B1;FMO3;CYP4F8
Reactome_2022	Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119	2/5	1.155884e-02	1.140551e-01	0	0	1.829493e+01	8.160094e+01	CCND3;CCND2
Reactome_2022	Extrinsic Pathway Of Fibrin Clot Formation R-HSA-140834	2/5	1.155884e-02	1.140551e-01	0	0	1.829493e+01	8.160094e+01	F9;TFPI
Reactome_2022	Serotonin And Melatonin Biosynthesis R-HSA-209931	2/5	1.155884e-02	1.140551e-01	0	0	1.829493e+01	8.160094e+01	DDC;TPH1
Reactome_2022	Acetylcholine Binding And Downstream Events R-HSA-181431	3/14	1.187090e-02	1.147916e-01	0	0	7.491841e+00	3.321632e+01	CHRNA4;CHRNA6;CHRNA9
Reactome_2022	Tryptophan Catabolism R-HSA-71240	3/14	1.187090e-02	1.147916e-01	0	0	7.491841e+00	3.321632e+01	SLC7A5;KYNU;AFMID
Reactome_2022	Phase II - Conjugation Of Compounds R-HSA-156580	9/107	1.334573e-02	1.277754e-01	0	0	2.533031e+00	1.093398e+01	SLC26A2;GLYATL2;UGT2B11;ACSM1;GSTA1;UGT3A2;UGT2B28;GGT1;UGT1A7
